"Class";"Name";"CID";"CAS";"Schmuker.2007.TR";"Bruyne.2001.WT";"Nissler.2007.EC50";"Nissler.2007.nmr";"Kreher.2008.EN"
"ester";"ethyl isovalerate";"7945";"108-64-5";NA;NA;NA;0.19225;NA
"ester";"heptyl acetate";"8159";"112-06-1";NA;NA;NA;0.34225;NA
"ester";"Z3-hexenyl acetate";"5363388";"3681-71-8";NA;NA;2.63;0.69825;NA
"ester";"hexyl methanoate";"61177";"629-33-4";NA;NA;2.07;0.59025;NA
"ester";"butyl heptanoate";"21596";"5454-28-4";NA;NA;NA;NA;NA
"ester";"nonyl acetate";"8918";"143-13-5";NA;NA;NA;NA;NA
"ester";"propyl heptanoate";"229377";"7778-87-2";NA;NA;NA;NA;NA
"ester";"butyl valerate";"61137";"591-68-4";NA;NA;NA;NA;NA
"ester";"butyl propanoate";"11529";"590-01-2";NA;NA;NA;NA;NA
"O ring";"acetyl furan";"14505";"1192-62-7";NA;NA;NA;NA;NA
"O ring";"gamma-pentyl-gamma-butyrolactone";"7710";"104-61-0";NA;NA;NA;NA;NA
"O ring";"beta-butyrolactone";"18303";"3068-88-0";NA;NA;NA;0;NA
"O ring";"gamma-valerolactone";"7921";"108-29-2";61;NA;NA;0.307556;NA
"O ring";"4-hydroxy-2,5-dimethyl-3(2H)-furanone";"19309";"3658-77-3";NA;NA;NA;NA;NA
"O ring";"gamma-pentyl-gamma-butyrolactone";"441574";"63357-97-1";NA;NA;NA;NA;NA
"O ring";"gamma-propyl-gamma-butyrolactone";"7742";"105-21-5";NA;NA;NA;0.352889;NA
"other";"oil";NA;"solvent";NA;34;NA;0.212404;NA
"other";"heptane";NA;"142-82-5";NA;NA;NA;0.311833;NA
"other";"octane";"356";"111-65-9";NA;NA;NA;0.287222;NA
"other";"nonane";"8141";"111-84-2";NA;NA;NA;0.253222;NA
"other";"carbon dioxide";"280";"124-38-9";24;26;NA;NA;10
"N ring";"2-isobutyl-3-methoxypyrazine";"32594";"24683-00-9";11;NA;NA;NA;NA
"N ring";"pyrrolidine";"31268";"123-75-1";42;NA;NA;NA;NA
"other";"11-cis Vaccenyl Acetate";NA;"6186-98-7";-2;NA;NA;NA;NA
"alcohol";"oleyl alcohol";"5284499";"143-28-2";NA;NA;NA;NA;NA
"alcohol";"cis-vaccenyl alcohol";NA;"62972-93-4";NA;NA;NA;NA;NA
"ester";"oleyl acetate";"5363289";"693-80-1";NA;NA;NA;NA;NA
"acid";"cis-vaccenic acid";"5282761";"506-17-2";NA;NA;NA;NA;NA
"other";"trans-methyl vaccenate";"5364432";"6198-58-9";NA;NA;NA;NA;NA
"other";"hexane";"8058";"110-54-3";NA;NA;NA;NA;NA
"O ring";"thymol";"6989";"89-83-8";NA;NA;NA;NA;NA
"O ring";"benzophenone";"3102";"119-61-9";NA;NA;NA;NA;NA
"alcohol";"isopropyl alcohol";"3776";"67-63-0";NA;NA;NA;NA;NA
"other";"methional";"18635";"3268-49-3";NA;NA;NA;NA;NA
"O ring";"menthol";"16666";"89-78-1";NA;NA;NA;NA;NA
