"Class";"Name";"InChIKey";"CID";"CAS";"Kreher.2005.EN";"Kreher.2008.EN";"Galizia.2009.nmr"
"169";"ester";"pentyl acetate";"PGMYKACGEOXYJE-UHFFFAOYSA-N";12348;"628-63-7";118;116;NA
"170";"ester";"hexyl acetate";"AOGQPLXWSUTHQB-UHFFFAOYSA-N";8908;"142-92-7";NA;NA;0.202119360650513
"171";"ester";"isobutyl acetate";"GJRQTCIYDGXPES-UHFFFAOYSA-N";8038;"110-19-0";NA;NA;NA
"172";"ester";"isopentyl acetate";"MLFHJEHSLIIPHL-UHFFFAOYSA-N";31276;"123-92-2";31;31;NA
"173";"ester";"E2-hexenyl acetate";"HRHOWZHRCRZVCU-WAYWQWQTSA-N";2733294;"2497-18-9";NA;NA;0.328377783389131
"174";"ester";"methyl butyrate";"UUIQMZJEGPQKFD-UHFFFAOYSA-N";12180;"623-42-7";NA;NA;NA
"175";"ester";"ethyl butyrate";"OBNCKNCVKJNDBV-UHFFFAOYSA-N";7762;"105-54-4";12;11;NA
"176";"ester";"hexyl butyrate";"XAPCMTMQBXLDBB-UHFFFAOYSA-N";17525;"2639-63-6";NA;NA;0.418351748118662
"177";"ester";"ethyl 3-hydroxybutyrate";"OMSUIQOIVADKIM-UHFFFAOYSA-N";62572;"5405-41-4";NA;NA;NA
"178";"ester";"ethyl propionate";"FKRCODPIKNYEAC-UHFFFAOYSA-N";7749;"105-37-3";NA;NA;NA
"179";"ester";"ethyl methanoate";"WBJINCZRORDGAQ-UHFFFAOYSA-N";8025;"109-94-4";NA;NA;NA
"180";"ester";"methyl hexanoate";"NUKZAGXMHTUAFE-UHFFFAOYSA-N";7824;"106-70-7";NA;NA;NA
"181";"ester";"ethyl hexanoate";"SHZIWNPUGXLXDT-UHFFFAOYSA-N";31265;"123-66-0";NA;NA;NA
"182";"ester";"hexyl hexanoate";"NCDCLPBOMHPFCV-UHFFFAOYSA-N";22873;"6378-65-0";NA;NA;NA
"183";"ester";"methyl octanoate";"JGHZJRVDZXSNKQ-UHFFFAOYSA-N";8091;"111-11-5";NA;NA;NA
"184";"ester";"ethyl octanoate";"YYZUSRORWSJGET-UHFFFAOYSA-N";7799;"106-32-1";NA;NA;NA
"185";"ester";"ethyl decanoate";"RGXWDWUGBIJHDO-UHFFFAOYSA-N";8048;"110-38-3";NA;NA;NA
"186";"ester";"ethyl trans-2-butenoate";"ZFDIRQKJPRINOQ-HWKANZROSA-N";429065;"623-70-1";NA;NA;NA
"187";"ester";"ethyl lactate";"LZCLXQDLBQLTDK-UHFFFAOYSA-N";92831;"97-64-3";NA;NA;NA
"188";"ester";"diethyl succinate";"DKMROQRQHGEIOW-UHFFFAOYSA-N";31249;"123-25-1";NA;NA;NA
"189";"ester";"octyl acetate";"YLYBTZIQSIBWLI-UHFFFAOYSA-N";8164;"112-14-1";13;12;0.203828054855674
"190";"ester";"decyl acetate";"NUPSHWCALHZGOV-UHFFFAOYSA-N";8167;"112-17-4";NA;NA;NA
"191";"ester";"methyl propionate";"RJUFJBKOKNCXHH-UHFFFAOYSA-N";11124;"554-12-1";NA;NA;NA
"192";"ester";"propyl butanoate";"HUAZGNHGCJGYNP-UHFFFAOYSA-N";7770;"105-66-8";NA;NA;NA
"193";"ester";"propyl pentanoate";"ROJKPKOYARNFNB-UHFFFAOYSA-N";67328;"141-06-0";NA;NA;NA
"194";"ester";"butyl hexanoate";"RPRPDTXKGSIXMD-UHFFFAOYSA-N";12294;"626-82-4";NA;NA;NA
"195";"N ring";"indole";"SIKJAQJRHWYJAI-UHFFFAOYSA-N";798;"120-72-9";NA;NA;NA
"196";"ester";"Z11-hexdecenyl acetate";"BTKXLQSCEOHKTF-SREVYHEPSA-N";5364711;"34010-21-4";NA;NA;NA
"197";"ester";"2-methyl butyl acetate";"XHIUFYZDQBSEMF-UHFFFAOYSA-N";12209;"624-41-9";NA;NA;0.307938282968895
"198";"ester";"propyl propionate";"MCSINKKTEDDPNK-UHFFFAOYSA-N";7803;"106-36-5";NA;NA;NA
"199";"ester";"sec-amyl acetate";"GQKZRWSUJHVIPE-UHFFFAOYSA-N";12278;"626-38-0";NA;NA;NA
"200";"ester";"ethyl (R)-(-)-3-hydroxybutanoate";"OMSUIQOIVADKIM-RXMQYKEDSA-N";440030;"24915-95-5";NA;NA;0.256061652784492
"201";"ester";"ethyl (S)-(+)-3-hydroxybutanoate";"OMSUIQOIVADKIM-YFKPBYRVSA-N";6950306;"56816-01-4";NA;NA;0.724165526034683
"202";"ester";"ethyl 2-methylbutanoate";"HCRBXQFHJMCTLF-UHFFFAOYSA-N";24020;"7452-79-1";NA;NA;0.241171532460511
"203";"ester";"butyl butanoate";"XUPYJHCZDLZNFP-UHFFFAOYSA-N";7983;"109-21-7";NA;NA;NA
